descending
Sno	Size	Time
1	500	0.000451
2	1000	0.000951
3	5000	0.005655
4	10000	0.011068
5	50000	0.049991
6	100000	0.077358
7	500000	0.414361
8	1000000	0.879876
9	5000000	4.975657


ascending
Sno	Size	Time
1	500	0.000425
2	1000	0.000918
3	5000	0.006066
4	10000	0.012469
5	50000	0.037927
6	100000	0.079844
7	500000	0.449115
8	1000000	0.940265
9	5000000	5.230568


unsorted
Sno	Size	Time
1	500	0.000579
2	1000	0.001221
3	5000	0.007809
4	10000	0.014173
5	50000	0.062031
6	100000	0.095951
7	500000	0.585941
8	1000000	1.144321
9	5000000	6.303602


