unsorted
Sno	Size	Time
1	500	0.000240
2	1000	0.000531
3	5000	0.003003
4	10000	0.006379
5	50000	0.018143
6	100000	0.034651
7	500000	0.181137
8	1000000	0.373328
9	5000000	2.040592


ascending
Sno	Size	Time
1	500	0.001554
2	1000	0.005553
3	5000	0.052860
4	10000	0.115712
5	50000	0.905749
6	100000	2.094237
7	500000	14.129158
8	1000000	30.713518
9	5000000	194.871995

desc
Sno	Size	Time
1	500	0.000693
2	1000	0.003311
3	5000	0.039334
4	10000	0.073042
5	50000	0.540319
6	100000	1.227505
7	500000	8.170807
8	1000000	17.244892
9	5000000	107.857912


